dt,dt_iso,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity
1695081600,2023-09-19 07:00:00,26.73,21.33,30.96,26.27,27.53,1012.0,74.0
1695085200,2023-09-19 08:00:00,25.7,22.75,31.55,25.96,29.4,1012.0,73.0
1695088800,2023-09-19 09:00:00,32.2,20.73,33.87,27.72,31.76,1012.0,52.0
1695092400,2023-09-19 10:00:00,30.95,20.73,32.23,27.98,33.0,1012.0,49.0
1695096000,2023-09-19 11:00:00,31.55,20.38,33.0,27.93,34.0,1012.0,47.0
1695099600,2023-09-19 12:00:00,35.09,19.53,32.89,27.93,34.13,1009.0,39.0
1695103200,2023-09-19 13:00:00,35.61,19.87,32.6,27.68,34.64,1009.0,39.0
1695106800,2023-09-19 14:00:00,33.22,20.05,33.94,27.68,33.71,1009.0,39.0
1695110400,2023-09-19 15:00:00,34.12,20.97,33.32,27.66,33.76,1009.0,49.0
1695114000,2023-09-19 16:00:00,32.99,21.1,33.32,27.85,33.42,1009.0,50.0
1695117600,2023-09-19 17:00:00,31.98,21.1,33.94,27.72,32.86,1009.0,58.0
1695121200,2023-09-19 18:00:00,27.98,24.31,33.05,27.5,30.3,1012.0,71.0
1695124800,2023-09-19 19:00:00,26.29,24.04,31.34,26.27,29.63,1012.0,72.0
1695128400,2023-09-19 20:00:00,26.7,24.04,31.15,25.97,29.1,1012.0,74.0
1695132000,2023-09-19 21:00:00,28.98,23.85,31.05,25.97,28.51,1012.0,82.0
1695135600,2023-09-19 22:00:00,26.45,24.17,31.33,26.03,29.11,1012.0,82.0
1695139200,2023-09-19 23:00:00,25.97,24.17,31.34,25.47,29.19,1012.0,81.0
1695142800,2023-09-20 00:00:00,27.95,23.52,29.95,25.36,28.02,1012.0,83.0
1695146400,2023-09-20 01:00:00,27.58,23.5,30.62,25.36,27.33,1012.0,83.0
1695150000,2023-09-20 02:00:00,27.19,23.27,30.62,25.37,27.48,1012.0,84.0
1695153600,2023-09-20 03:00:00,26.39,22.86,30.44,26.24,27.57,1009.0,84.0
1695157200,2023-09-20 04:00:00,27.24,22.67,30.96,25.28,27.96,1009.0,85.0
1695160800,2023-09-20 05:00:00,25.39,22.16,30.44,25.37,27.85,1009.0,84.0
1695164400,2023-09-20 06:00:00,25.1,21.69,30.44,25.28,26.94,1012.0,79.0
1695168000,2023-09-20 07:00:00,28.0,22.43,31.15,25.37,28.58,1012.0,78.0
1695171600,2023-09-20 08:00:00,29.96,22.59,31.55,26.03,29.24,1012.0,74.0
1695175200,2023-09-20 09:00:00,30.74,20.68,33.0,27.68,31.83,1012.0,55.0
1695178800,2023-09-20 10:00:00,32.67,21.07,33.0,27.68,31.97,1012.0,53.0
1695182400,2023-09-20 11:00:00,33.95,21.9,33.87,27.96,33.41,1012.0,51.0
1695186000,2023-09-20 12:00:00,34.87,21.81,33.04,27.66,34.68,1009.0,46.0
1695189600,2023-09-20 13:00:00,34.9,21.62,32.19,27.68,34.27,1009.0,46.0
1695193200,2023-09-20 14:00:00,33.22,21.1,34.19,27.98,34.81,1009.0,48.0
1695196800,2023-09-20 15:00:00,36.25,22.59,33.32,27.93,33.81,1009.0,55.0
1695200400,2023-09-20 16:00:00,31.73,21.77,34.3,27.98,33.73,1009.0,55.0
1695204000,2023-09-20 17:00:00,33.97,22.32,34.32,28.2,31.91,1009.0,62.0
1695207600,2023-09-20 18:00:00,28.98,24.76,33.0,27.68,30.15,1012.0,73.0
1695211200,2023-09-20 19:00:00,29.26,24.04,32.19,26.67,29.13,1012.0,74.0
1695214800,2023-09-20 20:00:00,28.97,23.31,31.55,26.15,29.03,1012.0,75.0
1695218400,2023-09-20 21:00:00,26.53,24.67,31.33,25.75,28.06,1012.0,80.0
1695222000,2023-09-20 22:00:00,26.22,24.31,30.99,26.24,29.21,1012.0,80.0
1695225600,2023-09-20 23:00:00,26.94,24.58,31.34,25.47,28.68,1012.0,81.0
1695229200,2023-09-21 00:00:00,26.28,24.23,31.15,25.37,28.86,1012.0,82.0
1695232800,2023-09-21 01:00:00,27.33,24.21,31.56,25.28,29.19,1012.0,83.0
1695236400,2023-09-21 02:00:00,29.78,22.85,30.99,25.96,28.89,1012.0,83.0
1695240000,2023-09-21 03:00:00,25.88,22.75,30.54,25.96,27.5,1009.0,83.0
1695243600,2023-09-21 04:00:00,25.62,22.85,29.95,25.28,27.39,1009.0,84.0
1695247200,2023-09-21 05:00:00,26.82,22.85,30.54,25.75,27.38,1009.0,83.0
1695250800,2023-09-21 06:00:00,25.1,22.16,30.96,25.75,27.57,1012.0,78.0
